INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING
0	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
1	休闲	休闲	休闲	休闲	休闲	休闲	休闲	休闲	休闲	休闲	0	-1
2	休闲	休闲	休闲	休闲	休闲	休闲	休闲	休闲	休闲	休闲	0	-1
3	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	0	-1
4	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	0	-1
14	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
15	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	0	-1
16	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	0	-1
23	受击	受击	受击	受击	受击	受击	受击	受击	受击	受击	0	-1
24	倒地	倒地	倒地	倒地	倒地	倒地	倒地	倒地	倒地	倒地	0	-1
25	倒地	倒地	倒地	倒地	倒地	倒地	倒地	倒地	倒地	倒地	0	-1
51	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
52											0	-1
53	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	0	-1
99	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
125	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
126	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
127	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
128	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
129	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
130	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
131	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
132	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
133	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
134	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
135	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
136	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
137	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
138	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
139	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
140	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
141	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
142	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
143	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
144	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
145	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
146	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
147	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
148	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
149	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
150	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	boss_四绝庄庞企_攻击	0	-1
