INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING
0	╒╛┴в	╒╛┴в	╒╛┴в	╒╛┴в	╒╛┴в	╒╛┴в	╒╛┴в	╒╛┴в	╒╛┴в	╒╛┴в	0	-1
1	╨▌╧╨2	╨▌╧╨2	╨▌╧╨2	╨▌╧╨2	╨▌╧╨2	╨▌╧╨2	╨▌╧╨2	╨▌╧╨2	╨▌╧╨2	╨▌╧╨2	0	-1
2	╨▌╧╨2	╨▌╧╨2	╨▌╧╨2	╨▌╧╨2	╨▌╧╨2	╨▌╧╨2	╨▌╧╨2	╨▌╧╨2	╨▌╧╨2	╨▌╧╨2	0	-1
3	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	0	-1
4	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	0	-1
14	╒╛┴в	╒╛┴в	╒╛┴в	╒╛┴в	╒╛┴в	╒╛┴в	╒╛┴в	╒╛┴в	╒╛┴в	╒╛┴в	0	-1
15	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	0	-1
16	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	╫▀┬╖	0	-1
23	╩▄╗ў	╩▄╗ў	╩▄╗ў	╩▄╗ў	╩▄╗ў	╩▄╗ў	╩▄╗ў	╩▄╗ў	╩▄╗ў	╩▄╗ў	0	-1
24	╧√╩з	╧√╩з	╧√╩з	╧√╩з	╧√╩з	╧√╩з	╧√╩з	╧√╩з	╧√╩з	╧√╩з	0	-1
25	╧√╩з	╧√╩з	╧√╩з	╧√╩з	╧√╩з	╧√╩з	╧√╩з	╧√╩з	╧√╩з	╧√╩з	0	-1
