INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING
0	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
1	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
2	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
3	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
4	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
14	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
15	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
16	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
23	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
24	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	0	-1
25	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	npc_兵圣奇阵风_风雷弹_自爆	0	-1
51	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
53	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
99	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
125	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
126	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
127	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
128	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
129	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
130	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
131	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
132	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
133	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
134	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
135	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
136	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
137	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
138	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
139	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
140	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
141	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
142	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
143	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
144	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
145	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
146	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
147	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
148	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
149	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
150	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
151	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
152	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
153	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
154	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
155	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
156	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
157	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
158	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
159	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
160	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
161	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
162	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	0	-1
163	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	0	-1
164	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	npc_兵圣奇阵风_风雷弹_攻击	0	-1
165	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
166	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
167	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
168	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
169	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
170	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
171	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
172	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
173	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
174	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
175	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
176	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
177	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
178	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
179	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
180	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
181	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
182	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
183	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
184	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
185	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
186	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
187	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
188	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
189	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
190	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
191	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
192	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
193	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
194	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
