INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING	
0	空手站立01		杖站立01	杖站立01	杖站立01	杖站立01	杖站立01	站立	站立	0	-1	(和平)休息	
0	空手站立01	杖站立01	杖站立01	杖站立01	杖站立01	杖站立01	杖站立01	站立	站立	0	-1	(和平)休息	
1	空手休闲	长枪休闲	杖休闲	双手弩休闲	单短休闲	扇子休闲	双环休闲	站立	休闲	0	-1	(和平)休息小动作1	
2	空手站立01	杖站立01	杖站立01	杖站立01	杖站立01	杖站立01	杖站立01	站立	休闲	0	-1	(和平)休息小动作2	
3								行走	行走	0	-1	(和平)行走	
4	g01_跑步	g01_长枪跑步	杖跑步	双手弩跑步	g01_单短跑步	g01_扇子跑步	g01_双环跑步	跑步	跑步	0	-1	(和平)跑步	
5	坐下1a	坐下1a	坐下1a	坐下1a	坐下1a	坐下1a	坐下1a	坐下a	坐下a	1	-1	(和平)坐下	
6	坐下1b	坐下1b	坐下1b	坐下1b	坐下1b	坐下1b	坐下1b	坐下b	坐下b	1	-1	(和平)坐下休息	
7	坐下1c	坐下1c	坐下1c	坐下1c	坐下1c	坐下1c	坐下1c	坐下c	坐下c	1	-1	(和平)坐下起身	
8	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	跳跃	跳跃	0	-1	保留	
9	g01_跑跳a	g01_跑跳a	g01_跑跳a	g01_跑跳a	g01_跑跳a	g01_跑跳a	g01_跑跳a	跑跳a	跑跳a	0	-1	(和平)正常跳跃中	
10	g01_跑跳b	g01_跑跳b	g01_跑跳b	g01_跑跳b	g01_跑跳b	g01_跑跳b	g01_跑跳b	跑跳b	跑跳b	0	-1	保留	
11	g01_跑跳b	g01_跑跳b	g01_跑跳b	g01_跑跳b	g01_跑跳b	g01_跑跳b	g01_跑跳b	跑跳b	跑跳b	0	-1	保留	
12	g01_跑跳b	g01_跑跳b	g01_跑跳b	g01_跑跳b	g01_跑跳b	g01_跑跳b	g01_跑跳b	跑跳b	跑跳b	0	-1	(和平)移动中跳跃	
13	g01_跑跳b	g01_跑跳b	g01_跑跳b	g01_跑跳b	g01_跑跳b	g01_跑跳b	g01_跑跳b	跑跳b	跑跳b	0	-1	保留	
14	空手警戒	大刀警戒	杖警戒	双手弩警戒	单短警戒	扇子警戒	双环警戒	站立	站立	0	-1	(战斗)休息	
15	空手站立01	杖站立01	杖站立01	杖站立01	杖站立01	杖站立01	杖站立01	站立	站立	0	-1	(和平)休息	
16	g01_跑步	g01_长枪跑步	杖跑步	双手弩跑步	g01_单短跑步	g01_扇子跑步	g01_双环跑步	跑步	跑步	0	-1	(战斗)跑步	
17	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	跳跃a	跳跃a	0	-1	保留	
18	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	跳跃b1	跳跃b1	0	-1	(战斗)正常跳跃中	
19	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	跳跃c	跳跃c	0	-1	保留	
20	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	跳跃a	跳跃a	0	-1	保留	
21	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	跳跃b2	跳跃b2	0	-1	(战斗)移动中跳跃	
22	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	g01_跑跃	跳跃c	跳跃c	0	-1	保留	
23	空手受击	大刀受击	杖受击	双手弩受击	单短受击	扇子受击	双环受击	受击	受击	0	-1	(战斗)被击中	
24	倒地	倒地	倒地	倒地	倒地	倒地	倒地	倒地	倒地	0	-1	(战斗)死亡	
25	死亡	死亡	死亡	死亡	死亡	死亡	死亡	死亡	死亡	0	-1	(战斗)尸体	
26	倒飞a	倒飞a	倒飞a	倒飞a	倒飞a	倒飞a	倒飞a	倒飞a	倒飞a	0	-1	(战斗)倒飞起始	
27	倒飞b	倒飞b	倒飞b	倒飞b	倒飞b	倒飞b	倒飞b	倒飞b	倒飞b	0	-1	(战斗)倒飞过程	
28	倒飞c	倒飞c	倒飞c	倒飞c	倒飞c	倒飞c	倒飞c	倒飞c	倒飞c	0	-1	(战斗)倒飞结束	
29	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	0	-1	(坐骑上)休息	
30	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	0	-1	(坐骑上)休息小动作1	
31	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	0	-1	(坐骑上)休息小动作2	
32	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	0	-1	(坐骑上)行走	
33	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	0	-1	(坐骑上)跑步	
34										0	-1	保留	
35	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	0	-1	(坐骑上)正常跳跃中	
36										0	-1	(保留	
37										0	-1	保留	
38	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	0	-1	(坐骑上)移动中跳跃	
39										0	-1	保留	
40	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	0	-1	(坐骑上)休息	
41	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	0	-1	(坐骑上)休息小动作1	
42	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	0	-1	(坐骑上)休息小动作2	
43	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	0	-1	(坐骑上)行走	
44	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	0	-1	(坐骑上)跑步	
45										0	-1	保留	
46	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	0	-1	(坐骑上)正常跳跃中	
47										0	-1	保留	
48										0	-1	保留	
49	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	0	-1	(坐骑上)移动中跳跃	
50										0	-1	保留	
51	空手警戒	大刀警戒	杖警戒	双手弩警戒	单短警戒	扇子警戒	双环警戒	站立	站立	0	-1	(潜行)休息	
52										0	-1		
53	空手潜行	长枪潜行	长枪潜行	双手弩潜行	单短潜行	扇子潜行	双环潜行	站立	站立	0	-1	(潜行)跑步	
63	击飞	击飞	击飞	击飞	击飞	击飞	击飞	击飞	击飞	0	-1	"(战斗)向后""打飞""死亡"	
64	融合受击	融合受击	融合受击	融合受击	融合受击	融合受击	融合受击	融合受击	融合受击	0	-1	(战斗)被击融合	
65										0	-1		
88	开宝箱	开宝箱	开宝箱	开宝箱	开宝箱	开宝箱	开宝箱	开宝箱	开宝箱	1	-1	开宝箱	
89	女掷雪球蓄力	女掷雪球蓄力	女掷雪球蓄力	女掷雪球蓄力	女掷雪球蓄力	女掷雪球蓄力	女掷雪球蓄力	女掷雪球蓄力	女掷雪球蓄力	1	-1	聚气扔雪球聚气	
90	女掷雪球	女掷雪球	女掷雪球	女掷雪球	女掷雪球	女掷雪球	女掷雪球	女掷雪球	女掷雪球	1	-1	聚气扔雪球发招	
91	女休闲掷雪球	女休闲掷雪球	女休闲掷雪球	女休闲掷雪球	女休闲掷雪球	女休闲掷雪球	女休闲掷雪球	女休闲掷雪球	女休闲掷雪球	1	-1	休闲扔雪球	
92	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	0	-1	生活技能升级	
93	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	0	-1	心法升级	
95	鞠躬	鞠躬	鞠躬	鞠躬	鞠躬	鞠躬	鞠躬	站立	站立	1	-1		
96	打招呼	打招呼	打招呼	打招呼	打招呼	打招呼	打招呼	站立	站立	1	-1		
97	高兴	高兴	高兴	高兴	高兴	高兴	高兴	站立	站立	1	-1		
98	悲伤	悲伤	悲伤	悲伤	悲伤	悲伤	悲伤	站立	站立	1	-1		
99	g01_心法升级_shengji	g01_心法升级_shengji	g01_心法升级_shengji	g01_心法升级_shengji	g01_心法升级_shengji	g01_心法升级_shengji	g01_心法升级_shengji	g01_心法升级_shengji	g01_心法升级_shengji	0	-1	升级	
100	晕倒a	晕倒a	晕倒a	晕倒a	晕倒a	晕倒a	晕倒a	站立	站立	1	-1		
101	晕倒b	晕倒b	晕倒b	晕倒b	晕倒b	晕倒b	晕倒b	站立	站立	1	-1		
102	晕倒c	晕倒c	晕倒c	晕倒c	晕倒c	晕倒c	晕倒c	站立	站立	1	-1		
