INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING	
×÷Õß UK QQ 2269169441													
0	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	0	-1	Õ¾Á¢2
1	ÐÝÏÐ2	ÐÝÏÐ2	ÐÝÏÐ2	ÐÝÏÐ2	ÐÝÏÐ2	ÐÝÏÐ2	ÐÝÏÐ2	ÐÝÏÐ2	ÐÝÏÐ2	ÐÝÏÐ2	0	-1	ÐÝÏÐ2
2	ÐÝÏÐ2	ÐÝÏÐ2	ÐÝÏÐ2	ÐÝÏÐ2	ÐÝÏÐ2	ÐÝÏÐ2	ÐÝÏÐ2	ÐÝÏÐ2	ÐÝÏÐ2	ÐÝÏÐ2	0	-1	ÐÝÏÐ2
3	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	0	-1	ÅÜ²½
4	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	0	-1	ÅÜ²½
5	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	1	-1	Õ¾Á¢2
6	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	1	-1	Õ¾Á¢2
7	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	1	-1	Õ¾Á¢2
8	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	0	-1	Õ¾Á¢2
