INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING
INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING
0	空手站立01	长枪站立01	大刀站立01	双短站立01	单短站立01	扇子站立01	双环站立01	站立	HJ_cw_情人节珍兽四级_站立_01	0	-1	0	0	(和平)休息
1	空手站立01	空手站立01	空手站立01	空手站立01	空手站立01	空手站立01	空手站立01	站立	休闲	0	-1	0	0	(和平)休息小动作1
2	空手站立01	空手站立01	空手站立01	空手站立01	空手站立01	空手站立01	空手站立01	站立	休闲	0	-1	0	0	(和平)休息小动作2
3	空手站立01	空手站立01	空手站立01	空手站立01	空手站立01	空手站立01	空手站立01	行走	行走	0	-1	0	0	(和平)行走
4	跑步	长枪跑步	长枪跑步	双短跑步	单短跑步	扇子跑步	双环跑步	跑步	跑步	0	-1	0	0	(和平)跑步
5	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1	0	0	摆摊
6	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1	0	0	摆摊
7	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1	0	0	摆摊
14	空手警戒	长枪警戒	大刀警戒	双短警戒	单短警戒	扇子警戒	双环警戒	站立	HJ_cw_情人节珍兽四级_站立_02	0	-1	0	0	(战斗)休息
15	空手站立01	空手站立01	空手站立01	空手站立01	空手站立01	空手站立01	空手站立01	行走	行走	0	-1	0	0	(战斗)行走
16	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	0	-1	0	0	(战斗)跑步
23	空手受击	长枪受击	大刀受击	双短受击	单短受击	扇子受击	双环受击	受击	受击	0	-1	0	0	(战斗)被击中
24	倒地	倒地	倒地	倒地	倒地	倒地	倒地	npc_lanlushuigui_daodi	npc_lanlushuigui_daodi	0	-1	0	0	(战斗)死亡
25	死亡	死亡	死亡	死亡	死亡	死亡	死亡	死亡	死亡	0	-1	0	0	(战斗)尸体
33	空手受击	长枪受击	大刀受击	双短受击	单短受击	扇子受击	双环受击	受击	受击	0	-1	0	0	异火受击1
34	空手受击	长枪受击	大刀受击	双短受击	单短受击	扇子受击	双环受击	受击	受击	0	-1	0	0	异火受击2
35	空手受击	长枪受击	大刀受击	双短受击	单短受击	扇子受击	双环受击	受击	受击	0	-1	0	0	异火受击3
51	空手警戒	长枪警戒	大刀警戒	双短警戒	单短警戒	扇子警戒	双环警戒	站立	站立	0	-1	0	0	(潜行)休息
52	空手站立01	空手站立01	空手站立01	空手站立01	空手站立01	空手站立01	空手站立01	空手站立01	HJ_cw_情人节珍兽四级_站立_03	0	-1	0	0	空手站立01
53	空手潜行	长枪潜行	长枪潜行	双短潜行	单短潜行	扇子潜行	双环潜行	跑步	跑步	0	-1	0	0	(潜行)跑步
61	格挡	格挡	格挡	格挡	格挡	格挡	格挡	受击	受击	0	-1	0	0	(战斗)闪避
62	格挡	格挡	格挡	格挡	格挡	格挡	格挡	受击	受击	0	-1	0	0	(战斗)搁挡
63	击飞	击飞	击飞	击飞	击飞	击飞	击飞	npc_lanlushuigui_daodi	npc_lanlushuigui_daodi	0	-1	0	0	(战斗)向后"击飞"死亡
