INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING	STRING
INT	扇类	长枪	大刀	双短	单短	STRING	环类	STRING	弩类	INT	INT	杖类	空手
#本文件由潇湘解密QQ1400003003 
0	扇子站立01	长枪站立01	长枪站立01	双短站立01	双短站立01	桃花岛站立	双环站立01	站立	双手弩站立01	0	-1	杖站立01	空手站立01
1	扇子休闲	长枪休闲	长枪休闲	双短休闲	单短休闲	桃花岛休闲	双环休闲	站立	双手弩休闲	0	-1	杖休闲	空手休闲
2	扇子站立01	长枪站立01	长枪站立01	双短站立01	双短站立01	桃花岛站立	双环站立01	站立	双手弩站立01	0	-1	杖站立01	空手站立01
3								行走		0	-1		
4	m01_扇子跑步	m01_长枪跑步	m01_长枪跑步	m01_双短跑步	m01_双短跑步	桃花岛跑步	m01_双环跑步	跑步	双手弩跑步	0	-1	杖跑步	m01_跑步
5	坐下1a	坐下1a	坐下1a	坐下1a	坐下1a	坐下1a	坐下1a	坐下a	坐下1a	1	-1	坐下1a	坐下1a
6	坐下1b	坐下1b	坐下1b	坐下1b	坐下1b	坐下1b	坐下1b	坐下b	坐下1b	1	-1	坐下1b	坐下1b
7	坐下1c	坐下1c	坐下1c	坐下1c	坐下1c	坐下1c	坐下1c	坐下c	坐下1c	1	-1	坐下1c	坐下1c
8	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	跳跃	m01_跑跃	0	-1	m01_跑跃	m01_跑跃
9	m01_跑跳a	m01_跑跳a	m01_跑跳a	m01_跑跳a	m01_跑跳a	m01_跑跳a	m01_跑跳a	跑跳a	m01_跑跳a	0	-1	m01_跑跳a	m01_跑跳a
10	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	跑跳b	m01_跑跳b	0	-1	m01_跑跳b	m01_跑跳b
11	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	跑跳b	m01_跑跳b	0	-1	m01_跑跳b	m01_跑跳b
