INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING	
INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING
0	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1	(和平)休息
1	休闲	休闲	休闲	休闲	休闲	休闲	休闲	休闲	休闲	0	-1	(和平)休息小动作1
2	休闲	休闲	休闲	休闲	休闲	休闲	休闲	休闲	休闲	0	-1	(和平)休息小动作2
3	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	0	-1	(和平)行走
4	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	0	-1	(和平)跑步
5	站立	站立	站立	站立	站立	站立	站立	站立	站立	1	-1	(和平)坐下
6	站立	站立	站立	站立	站立	站立	站立	站立	站立	1	-1	(和平)坐下休息
7	站立	站立	站立	站立	站立	站立	站立	站立	站立	1	-1	(和平)坐下起身
8	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1	(战斗)警戒
9	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1	(战斗)休息
10	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	0	-1	(战斗)行走
11	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	0	-1	(战斗)跑步
12	受击	受击	受击	受击	受击	受击	受击	受击	受击	0	-1	(战斗)被击中
13	倒地	倒地	倒地	倒地	倒地	倒地	倒地	倒地	倒地	0	-1	(战斗)死亡
14	死亡	死亡	死亡	死亡	死亡	死亡	死亡	死亡	死亡	0	-1	(战斗)尸体
15	隐身	隐身	隐身	隐身	隐身	隐身	隐身	隐身	隐身	0	-1	(潜行)休息
16	隐身跑步	隐身跑步	隐身跑步	隐身跑步	隐身跑步	隐身跑步	隐身跑步	隐身跑步	隐身跑步	0	-1	(潜行)跑步
17	cw_shengji	cw_shengji	cw_shengji	cw_shengji	cw_shengji	cw_shengji	cw_shengji	cw_shengji	cw_shengji	0	-1	升级
18	远程攻击	远程攻击	远程攻击	远程攻击	远程攻击	远程攻击	远程攻击	远程攻击	远程攻击	0	-1	远程攻击
19	强化技能	强化技能	强化技能	强化技能	强化技能	强化技能	强化技能	强化技能	强化技能	0	-1	强化技能
20	npc_男孩儿童期_抱抱	npc_男孩儿童期_抱抱	npc_男孩儿童期_抱抱	npc_男孩儿童期_抱抱	npc_男孩儿童期_抱抱	npc_男孩儿童期_抱抱	npc_男孩儿童期_抱抱	npc_男孩儿童期_抱抱	npc_男孩儿童期_抱抱	0	-1	抱抱
21	npc_男孩儿童期_亲亲	npc_男孩儿童期_亲亲	npc_男孩儿童期_亲亲	npc_男孩儿童期_亲亲	npc_男孩儿童期_亲亲	npc_男孩儿童期_亲亲	npc_男孩儿童期_亲亲	npc_男孩儿童期_亲亲	npc_男孩儿童期_亲亲	0	-1	亲亲
22	npc_男孩儿童期_摸摸	npc_男孩儿童期_摸摸	npc_男孩儿童期_摸摸	npc_男孩儿童期_摸摸	npc_男孩儿童期_摸摸	npc_男孩儿童期_摸摸	npc_男孩儿童期_摸摸	npc_男孩儿童期_摸摸	npc_男孩儿童期_摸摸	0	-1	摸摸
23	npc_男孩儿童期_饿了	npc_男孩儿童期_饿了	npc_男孩儿童期_饿了	npc_男孩儿童期_饿了	npc_男孩儿童期_饿了	npc_男孩儿童期_饿了	npc_男孩儿童期_饿了	npc_男孩儿童期_饿了	npc_男孩儿童期_饿了	0	-1	渴了/饿了
24	npc_男孩儿童期_生病	npc_男孩儿童期_生病	npc_男孩儿童期_生病	npc_男孩儿童期_生病	npc_男孩儿童期_生病	npc_男孩儿童期_生病	npc_男孩儿童期_生病	npc_男孩儿童期_生病	npc_男孩儿童期_生病	0	-1	生病
25	npc_男孩儿童期_脏了	npc_男孩儿童期_脏了	npc_男孩儿童期_脏了	npc_男孩儿童期_脏了	npc_男孩儿童期_脏了	npc_男孩儿童期_脏了	npc_男孩儿童期_脏了	npc_男孩儿童期_脏了	npc_男孩儿童期_脏了	0	-1	脏了
26	npc_男孩儿童期_洗澡	npc_男孩儿童期_洗澡	npc_男孩儿童期_洗澡	npc_男孩儿童期_洗澡	npc_男孩儿童期_洗澡	npc_男孩儿童期_洗澡	npc_男孩儿童期_洗澡	npc_男孩儿童期_洗澡	npc_男孩儿童期_洗澡	0	-1	洗澡
27	npc_男孩儿童期_喂水	npc_男孩儿童期_喂水	npc_男孩儿童期_喂水	npc_男孩儿童期_喂水	npc_男孩儿童期_喂水	npc_男孩儿童期_喂水	npc_男孩儿童期_喂水	npc_男孩儿童期_喂水	npc_男孩儿童期_喂水	0	-1	喂水
28	npc_男孩儿童期_吃饭	npc_男孩儿童期_吃饭	npc_男孩儿童期_吃饭	npc_男孩儿童期_吃饭	npc_男孩儿童期_吃饭	npc_男孩儿童期_吃饭	npc_男孩儿童期_吃饭	npc_男孩儿童期_吃饭	npc_男孩儿童期_吃饭	0	-1	吃饭/喂药
29										0	-1	保留
30										0	-1	保留
31										0	-1	保留
32										0	-1	保留
33										0	-1	保留
34										0	-1	保留
35										0	-1	保留
36										0	-1	保留
37										0	-1	保留
38										0	-1	保留
39										0	-1	保留
40										0	-1	保留
41										0	-1	保留
42										0	-1	保留
43										0	-1	保留
44										0	-1	保留
45										0	-1	保留
46										0	-1	保留
47										0	-1	保留
48										0	-1	保留
49										0	-1	保留
50										0	-1	保留
51	隐身	隐身	隐身	隐身	隐身	隐身	隐身	隐身	隐身	0	-1	(潜行)休息
52										0	-1	保留
53	隐身跑步	隐身跑步	隐身跑步	隐身跑步	隐身跑步	隐身跑步	隐身跑步	隐身跑步	隐身跑步	0	-1	(潜行)跑步
54	子女技能_神兵	子女技能_神兵	子女技能_神兵	子女技能_神兵	子女技能_神兵	子女技能_神兵	子女技能_神兵	子女技能_神兵	子女技能_神兵	0	-1	子女技能_神兵
55	子女技能_锦装	子女技能_锦装	子女技能_锦装	子女技能_锦装	子女技能_锦装	子女技能_锦装	子女技能_锦装	子女技能_锦装	子女技能_锦装	0	-1	子女技能_锦装
56	子女技能_轻功	子女技能_轻功	子女技能_轻功	子女技能_轻功	子女技能_轻功	子女技能_轻功	子女技能_轻功	子女技能_轻功	子女技能_轻功	0	-1	子女技能_轻功
57	子女技能_名饰	子女技能_名饰	子女技能_名饰	子女技能_名饰	子女技能_名饰	子女技能_名饰	子女技能_名饰	子女技能_名饰	子女技能_名饰	0	-1	子女技能_名饰
58	子女技能_名驹	子女技能_名驹	子女技能_名驹	子女技能_名驹	子女技能_名驹	子女技能_名驹	子女技能_名驹	子女技能_名驹	子女技能_名驹	0	-1	子女技能_名驹
59	子女技能_武诀	子女技能_武诀	子女技能_武诀	子女技能_武诀	子女技能_武诀	子女技能_武诀	子女技能_武诀	子女技能_武诀	子女技能_武诀	0	-1	子女技能_武诀
