INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING
作者 蝎子 QQ 718805400												
0	npc_女孩襁褓期_睡觉	npc_女孩襁褓期_睡觉	npc_女孩襁褓期_睡觉	npc_女孩襁褓期_睡觉	npc_女孩襁褓期_睡觉	npc_女孩襁褓期_睡觉	npc_女孩襁褓期_睡觉	npc_女孩襁褓期_睡觉	npc_女孩襁褓期_睡觉	npc_女孩襁褓期_睡觉	0	-1
1	休闲	休闲	休闲	休闲	休闲	休闲	休闲	休闲	休闲	休闲	0	-1
2	npc_女孩襁褓期_高兴	npc_女孩襁褓期_高兴	npc_女孩襁褓期_高兴	npc_女孩襁褓期_高兴	npc_女孩襁褓期_高兴	npc_女孩襁褓期_高兴	npc_女孩襁褓期_高兴	npc_女孩襁褓期_高兴	npc_女孩襁褓期_高兴	npc_女孩襁褓期_高兴	0	-1
3	行走	行走	行走	行走	行走	行走	行走	行走	行走	行走	0	-1
4	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	0	-1
5	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	1	-1
6	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	1	-1
7	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	1	-1
14	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
15	行走	行走	行走	行走	行走	行走	行走	行走	行走	行走	0	-1
16	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	0	-1
23	受击	受击	受击	受击	受击	受击	受击	受击	受击	受击	0	-1
24	倒地	倒地	倒地	倒地	倒地	倒地	倒地	倒地	倒地	倒地	0	-1
25	死亡	死亡	死亡	死亡	死亡	死亡	死亡	死亡	死亡	死亡	0	-1
51	站立	站立	站立	站立	站立	站立	站立	站立	站立	站立	0	-1
53	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	跑步	0	-1
99	cw_shengji	cw_shengji	cw_shengji	cw_shengji	cw_shengji	cw_shengji	cw_shengji	cw_shengji	cw_shengji	cw_shengji	0	-1
100	npc_女孩襁褓期_脏了	npc_女孩襁褓期_脏了	npc_女孩襁褓期_脏了	npc_女孩襁褓期_脏了	npc_女孩襁褓期_脏了	npc_女孩襁褓期_脏了	npc_女孩襁褓期_脏了	npc_女孩襁褓期_脏了	npc_女孩襁褓期_脏了	npc_女孩襁褓期_脏了	0	-1
101	npc_女孩襁褓期_洗澡	npc_女孩襁褓期_洗澡	npc_女孩襁褓期_洗澡	npc_女孩襁褓期_洗澡	npc_女孩襁褓期_洗澡	npc_女孩襁褓期_洗澡	npc_女孩襁褓期_洗澡	npc_女孩襁褓期_洗澡	npc_女孩襁褓期_洗澡	npc_女孩襁褓期_洗澡	0	-1
102	npc_女孩襁褓期_喂药	npc_女孩襁褓期_喂药	npc_女孩襁褓期_喂药	npc_女孩襁褓期_喂药	npc_女孩襁褓期_喂药	npc_女孩襁褓期_喂药	npc_女孩襁褓期_喂药	npc_女孩襁褓期_喂药	npc_女孩襁褓期_喂药	npc_女孩襁褓期_喂药	0	-1
103	npc_女孩襁褓期_喂水	npc_女孩襁褓期_喂水	npc_女孩襁褓期_喂水	npc_女孩襁褓期_喂水	npc_女孩襁褓期_喂水	npc_女孩襁褓期_喂水	npc_女孩襁褓期_喂水	npc_女孩襁褓期_喂水	npc_女孩襁褓期_喂水	npc_女孩襁褓期_喂水	0	-1
104	npc_女孩襁褓期_喂饭	npc_女孩襁褓期_喂饭	npc_女孩襁褓期_喂饭	npc_女孩襁褓期_喂饭	npc_女孩襁褓期_喂饭	npc_女孩襁褓期_喂饭	npc_女孩襁褓期_喂饭	npc_女孩襁褓期_喂饭	npc_女孩襁褓期_喂饭	npc_女孩襁褓期_喂饭	0	-1
