INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING		
INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING		
0	男主角.obj	1	2	1	0.15	182	183	184	男主角.txt	男主角_虎.txt	男主角_马.txt	男主角_狼.txt	男主角_雕.txt	男主角_鹿.txt	男主角_鹤.txt	男主角_凤.txt	男主角_骆驼.txt	男主角_牦牛.txt	男主角_白虎.txt	男主角_青白骢马.txt	男主角_白狼.txt	男主角_白雕.txt	男主角_白鹿.txt	男主角_金翼鹤.txt	男主角_红白凤.txt	男主角_白骆驼.txt	男主角_白牦牛.txt	男主角_狮子.txt	男主角_白狮.txt		男主角_走雕.txt	男主角_走白雕.txt	男主角_犀牛.txt	男主角_陆吾.txt	男主角_熊.txt	男主角_玄龟.txt	男主角_马车.txt	男主角_天使翅膀.txt		男主角_轿子.txt	男主角_交通工具_鹰.txt
1	女主角.obj	1	2	1	0.15	185	186	187	女主角.txt	女主角_虎.txt	女主角_马.txt	女主角_狼.txt	女主角_雕.txt	女主角_鹿.txt	女主角_鹤.txt	女主角_凤.txt	女主角_骆驼.txt	女主角_牦牛.txt	女主角_白虎.txt	女主角_青白骢马.txt	女主角_白狼.txt	女主角_白雕.txt	女主角_白鹿.txt	女主角_金翼鹤.txt	女主角_红白凤.txt	女主角_白骆驼.txt	女主角_白牦牛.txt	女主角_狮子.txt	女主角_白狮.txt		女主角_走雕.txt	女主角_走白雕.txt	女主角_犀牛.txt	女主角_陆吾.txt	女主角_熊.txt	女主角_玄龟.txt	女主角_马车.txt	女主角_天使翅膀.txt		女主角_轿子.txt	女主角_交通工具_鹰.txt
2	巴天石.obj	1	2	1	0.15	182	183	184	巴天石.txt																																
3	白堤柳鬼.obj	1	2	1	0.15	182	183	184	白堤柳鬼.txt																																
5	毕昇.obj	1	2	1	0.15	182	183	184	毕昇.txt																																
7	蔡京.obj	1	2	1	0.15	182	183	184	蔡京.txt																																
8	残破兵俑.obj	1	2	1	0.15	182	183	184	残破兵俑.txt																																
9	单正.obj	1	2	1	0.15	182	183	184	单正.txt																																
10	稻草人.obj	1	2	1	0.15	182	183	184	稻草人.txt																																
11	丁春秋.obj	1	2	1	0.15	182	183	184	丁春秋.txt																																
