INT	STRING	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	INT
INT	STRING	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	INT
0	»¢	1	1010	0.5	447	0	attach1	0	attach1	-1	1
1	»ÆæôÂí	1	1011	0.6	448	1	attach1	1	attach1	-1	1
2	»ÒÀÇ	1	1012	0.5	455	2	attach1	2	attach1	-1	1
3	µñ	1	1007	0.5	454	3	attach1	3	attach1	-1	-1
4	Â¹	1	1014	0.6	453	4	attach1	4	attach1	-1	1
5	º×	1	1008	0.9	450	5	attach1	5	attach1	-1	-1
6	Çà·ï	1	1018	0.5	451	6	attach1	6	attach1	-1	-1
7	ÂæÍÕ	1	1015	0.6	449	7	attach1	7	attach1	-1	1
8	êóÅ£	1	1016	0.6	452	8	attach1	8	attach1	-1	1
9	°×»¢	1	1002	0.5	456	9	attach1	9	attach1	-1	1
10	Çà°×æõÂí	1	1017	0.6	457	10	attach1	10	attach1	-1	1
11	°×ÀÇ	1	1003	0.5	464	11	attach1	11	attach1	-1	1
12	°×µñ	1	1001	0.5	463	12	attach1	12	attach1	-1	-1
13	°×Â¹	1	1004	0.6	462	13	attach1	13	attach1	-1	1
14	½ğÒíº×	1	1013	0.9	459	14	attach1	14	attach1	-1	-1
15	ºì°×·ï	1	1009	0.5	460	15	attach1	15	attach1	-1	-1
16	°×ÂæÍÕ	1	1005	0.6	458	16	attach1	16	attach1	-1	1
17	°×êóÅ£	1	1006	0.6	461	17	attach1	17	attach1	-1	1
18	Ê¨×Ó	1	1019	0.6	561	18	attach1	18	attach1	-1	1
19	°×Ê¨	1	1020	0.6	562	19	attach1	19	attach1	-1	1
20		1	-1	0.6	20	20	attach1	20	attach1	-1	1
21	Â½ĞĞµñ	1	1025	0.5	446	21	attach1	21	attach1	-1	1
22	×ß°×µñ	1	1026	0.5	445	22	attach1	22	attach1	-1	1
23	Ïó	2	1027	0.7	443	23	attach1	23	attach2	-1	1
24	´óÏó	2	1028	0.7	444	23	attach1	23	attach2	-1	1
25	Ë«ÈËµñ	2	1021	1.3	-1	31	Æï³Ëµã01	31	Æï³Ëµã02	-1	-1
