INT	INT	STRING	INT	INT
INT	INT	STRING	INT	INT
1	0	set:GirlProtagonist image:GirlProtagonist_1	3	1
2	0	set:GirlProtagonist image:GirlProtagonist_2	3	1
3	0	set:GirlProtagonist image:GirlProtagonist_3	3	1
4	0	set:GirlProtagonist image:GirlProtagonist_4	3	1
5	0	set:GirlProtagonist image:GirlProtagonist_5	3	1
6	0	set:GirlProtagonist image:GirlProtagonist_6	3	1
7	0	set:GirlProtagonist image:GirlProtagonist_7	3	1
8	0	set:GirlProtagonist image:GirlProtagonist_8	3	1
9	0	set:GirlProtagonist image:GirlProtagonist_9	3	1
10	0	set:GirlProtagonist image:GirlProtagonist_10	3	1
11	0	set:GirlProtagonist image:GirlProtagonist_11	3	1
12	0	set:GirlProtagonist image:GirlProtagonist_12	3	1
13	1	set:ManProtagonist image:ManProtagonist_1	3	1
14	1	set:ManProtagonist image:ManProtagonist_2	3	1
15	1	set:ManProtagonist image:ManProtagonist_3	3	1
16	1	set:ManProtagonist image:ManProtagonist_4	3	1
17	1	set:ManProtagonist image:ManProtagonist_5	3	1
18	1	set:ManProtagonist image:ManProtagonist_6	3	1
19	1	set:ManProtagonist image:ManProtagonist_7	3	1
20	1	set:ManProtagonist image:ManProtagonist_8	3	1
21	1	set:ManProtagonist image:ManProtagonist_9	3	1
22	1	set:ManProtagonist image:ManProtagonist_10	3	1
23	1	set:ManProtagonist image:ManProtagonist_11	3	1
24	1	set:ManProtagonist image:ManProtagonist_12	3	1
25	0	set:GirlProtagonist image:GirlProtagonist_13	2	2
26	0	set:GirlProtagonist image:GirlProtagonist_14	2	2
27	0	set:GirlProtagonist image:GirlProtagonist_15	2	2
28	0	set:GirlProtagonist image:GirlProtagonist_16	2	2
29	1	set:ManProtagonist image:ManProtagonist_13	2	2
30	1	set:ManProtagonist image:ManProtagonist_14	2	2
31	1	set:ManProtagonist image:ManProtagonist_15	2	2
32	1	set:ManProtagonist image:ManProtagonist_16	2	2
33	0	set:GirlProtagonist image:GirlProtagonist_17	2	2
34	0	set:GirlProtagonist image:GirlProtagonist_18	2	2
35	0	set:GirlProtagonist image:GirlProtagonist_19	2	2
36	0	set:GirlProtagonist image:GirlProtagonist_20	2	2
37	1	set:ManProtagonist image:ManProtagonist_17	2	2
38	1	set:ManProtagonist image:ManProtagonist_18	2	2
39	1	set:ManProtagonist image:ManProtagonist_19	2	2
40	1	set:ManProtagonist image:ManProtagonist_20	2	2
41	0	set:GirlProtagonist image:GirlProtagonist_21	2	2
42	0	set:GirlProtagonist image:GirlProtagonist_22	2	2
43	1	set:ManProtagonist image:ManProtagonist_21	2	2
44	1	set:ManProtagonist image:ManProtagonist_22	2	2
45	1	set:ManProtagonist image:ManProtagonist_23	2	2
46	0	set:GirlProtagonist image:GirlProtagonist_23	2	2
47	1	set:ManProtagonist image:ManProtagonist_24	2	2
48	0	set:GirlProtagonist image:GirlProtagonist_24	2	2
49	0	set:GirlProtagonist image:GirlProtagonist_25	2	2
50	0	set:GirlProtagonist1 image:GirlProtagonist1_1	2	2
51	0	set:GirlProtagonist1 image:GirlProtagonist1_2	2	2
52	1	set:ManProtagonist image:ManProtagonist_25	2	2
53	1	set:ManProtagonist1 image:ManProtagonist1_1	2	2
54	1	set:ManProtagonist1 image:ManProtagonist1_2	2	2
55	0	set:GirlProtagonist1 image:GirlProtagonist1_3	2	2
56	1	set:ManProtagonist1 image:ManProtagonist1_3	2	2
57	0	set:GirlProtagonist1 image:GirlProtagonist1_4	2	2
58	1	set:ManProtagonist1 image:ManProtagonist1_4	2	2
59	0	set:GirlProtagonist1 image:GirlProtagonist1_5	2	2
60	1	set:ManProtagonist1 image:ManProtagonist1_5	2	2
61	0	set:GirlProtagonist1 image:GirlProtagonist1_6	2	2
62	1	set:ManProtagonist1 image:ManProtagonist1_6	2	2
63	0	set:GirlProtagonist1 image:GirlProtagonist1_7	2	2
