INT	INT
INT	INT
10155001	200
10155002	1000
10155003	600

10171001	200
10171002	200
10171003	200
10171004	200
10171005	200
10171006	200
10171007	200
10171008	200
10171009	200
10171010	200
10171011	200
10171012	200
10171013	200
10171014	200
10171015	200
10171016	200
10171017	200
10171018	200
10171019	200
10171020	200
10171021	200
10171022	200
10171023	200
10171024	200
10171025	200
10171026	200
10171027	200
10171028	200
10171029	200
10171030	200
10171031	200
10171032	200
10171033	200
10171034	200
10171035	200
10171036	200
10171037	200
10171038	200
10171039	200
10171040	200
10171041	200
10171042	200
10171043	200
10171044	200
10171045	200
10171046	200
10171047	200
10171048	200
10171049	200
10171050	200
10171051	200
10171052	200
10171053	200
10171054	200
10171055	200
10171056	200
10171057	200
10171058	200
10171059	200
10171060	200
10171061	200
10171062	200
10171063	200
10171064	200
10171065	200
10171066	200
10171067	200
10171068	200
10171069	200
10171070	200
10171071	200
10171072	200
10171073	200
10171074	200
10171075	200
10171076	200
10171077	200
10171078	200
10171079	200
10171080	200
10171081	200
10171082	200
10171083	200
10171084	200
10171085	200
10171086	200
10171087	200
10171088	200
10171089	200
10171090	200
10171091	200
10171092	200
10171093	200
10171094	200
10171095	200
10171096	200
10171097	200
10171098	200
10171099	200
10171100	200
10171101	200
10171102	200
10171103	200
10171104	200
10171105	200
10171106	200
10171107	200
10171108	200
10171109	200
10171110	200
10171111	200
10171112	200
10171113	200
10171114	200
10171115	200
10171116	200
10171117	200
10171118	200
10171119	200
10171120	200
10171121	200
10171122	200
10171123	200
10171124	200
10171125	200
10171126	200
10171127	200
10171128	200
10171129	200
10171130	200
10171131	200
10171132	200
10171133	200
10171134	200
10171135	200
10171136	200
10171137	200
10171138	200
10171139	200
10171140	200
10171141	200
10171142	200
10171143	200
10171144	200
10171145	200
10171146	200
10171147	200
10171148	200
10171149	200
10171150	200
10171151	200
10171152	200
10171153	200
10171154	200
10171155	200
10171156	200
10171157	200
10171158	200
10171159	200
10171160	200
10171161	200
10171162	200
10171163	200
10171164	200
10171165	200
10171166	200
10171167	200
10171168	200
10171169	200
10171170	200
10172001	1000
10172002	1000
10172003	1000
10172004	1000
10172005	1000
10172006	1000
10172007	1000
10172008	1000
10172009	1000
10172010	1000
10172011	1000
10172012	1000
10172013	1000
10172014	1000
10172015	1000
10172016	1000
10172017	1000
10172018	1000
10172019	1000
10172020	1000
10172021	1000
10172022	1000
10172023	1000
10172024	1000
10172025	1000
10172026	1000
10172027	1000
10172028	1000
10172029	1000
10172030	1000
10172031	1000
10172032	1000
10172033	1000
10172034	1000
10172035	1000
10172036	1000
10172037	1000
10172038	1000
10172039	1000
10172040	1000
10172041	1000
10172042	1000
10172043	1000
10172044	1000
10172045	1000
10172046	1000
10172047	1000
10172048	1000
10172049	1000
10172050	1000
10172051	1000
10172052	1000
10172053	1000
10172054	1000
10172055	1000
10172056	1000
10172057	1000
10172058	1000
10172059	1000
10172060	1000
10172061	1000
10172062	1000
10172063	1000
10172064	1000
10172065	1000
10172066	1000
10172067	1000
10172068	1000
10172069	1000
10172070	1000
10172071	1000
10172072	1000
10172073	1000
10172074	1000
10172075	1000
10172076	1000
10172077	1000
10172078	1000
10172079	1000
10172080	1000
10172081	1000
