INT	INT	INT	INT
INT	INT	INT	INT
10123111	10123111	10123111	10000
10124011	10124011	10124011	10000

32002001	32002001	32002001	10000
32002002	32002002	32002002	10000
32002003	32002003	32002003	10000
32002004	32002004	32002004	10000
32002005	32002005	32002005	10000
32002006	32002006	32002006	10000
32002007	32002007	32002007	10000
32002008	32002008	32002008	10000
32002009	32002009	32002009	10000
32002010	32002010	32002010	10000
32002011	32002011	32002011	10000
32002012	32002012	32002012	10000
32002013	32002013	32002013	10000
32002014	32002014	32002014	10000
32002015	32002015	32002015	10000
32002016	32002016	32002016	10000
32002017	32002017	32002017	10000
32002018	32002018	32002018	10000
32002019	32002019	32002019	10000
32002020	32002020	32002020	10000
32002021	32002021	32002021	10000
32002022	32002022	32002022	10000
32002023	32002023	32002023	10000
32002024	32002024	32002024	10000
32002025	32002025	32002025	10000
32002026	32002026	32002026	10000
32002027	32002027	32002027	10000
32002028	32002028	32002028	10000
32002029	32002029	32002029	10000
32002030	32002030	32002030	10000
32002031	32002031	32002031	10000
32002032	32002032	32002032	10000
32002033	32002033	32002033	10000
32002034	32002034	32002034	10000
32002035	32002035	32002035	10000
32002036	32002036	32002036	10000
32002037	32002037	32002037	10000
32002038	32002038	32002038	10000
32002039	32002039	32002039	10000
32002040	32002040	32002040	10000
32002041	32002041	32002041	10000
32002042	32002042	32002042	10000
32002043	32002043	32002043	10000
32002044	32002044	32002044	10000
32002045	32002045	32002045	10000
32002046	32002046	32002046	10000
32002047	32002047	32002047	10000
32002048	32002048	32002048	10000
32002049	32002049	32002049	10000
32002050	32002050	32002050	10000
32002051	32002051	32002051	10000
32002052	32002052	32002052	10000
32002053	32002053	32002053	10000
32002054	32002054	32002054	10000
32002055	32002055	32002055	10000
32002056	32002056	32002056	10000
32002057	32002057	32002057	10000
32002058	32002058	32002058	10000
32002059	32002059	32002059	10000
32002060	32002060	32002060	10000
32002061	32002061	32002061	10000
32002062	32002062	32002062	10000
32002063	32002063	32002063	10000
32002064	32002064	32002064	10000
32002065	32002065	32002065	10000
32002066	32002066	32002066	10000
32002067	32002067	32002067	10000
32002068	32002068	32002068	10000
32002069	32002069	32002069	10000
32002070	32002070	32002070	10000
32002071	32002071	32002071	10000
32002072	32002072	32002072	10000
32002073	32002073	32002073	10000
32002074	32002074	32002074	10000
32002075	32002075	32002075	10000
32002076	32002076	32002076	10000
32002077	32002077	32002077	10000
32002078	32002078	32002078	10000
32002079	32002079	32002079	10000
32002080	32002080	32002080	10000
32002081	32002081	32002081	10000
32002082	32002082	32002082	10000
32002083	32002083	32002083	10000
32002084	32002084	32002084	10000
32002085	32002085	32002085	10000
32002086	32002086	32002086	10000
32002087	32002087	32002087	10000
32002088	32002088	32002088	10000
32002089	32002089	32002089	10000
32002090	32002090	32002090	10000
32002091	32002091	32002091	10000
32002092	32002092	32002092	10000
32002093	32002093	32002093	10000
32002094	32002094	32002094	10000
32002095	32002095	32002095	10000
32002096	32002096	32002096	10000
32002097	32002097	32002097	10000
32002098	32002098	32002098	10000
32002099	32002099	32002099	10000
32002100	32002100	32002100	10000
32002101	32002101	32002101	10000
32002102	32002102	32002102	10000
32002103	32002103	32002103	10000
32002104	32002104	32002104	10000
32002105	32002105	32002105	10000
32002106	32002106	32002106	10000
32002107	32002107	32002107	10000
32002108	32002108	32002108	10000
32002109	32002109	32002109	10000
32002110	32002110	32002110	10000
32002111	32002111	32002111	10000
32002112	32002112	32002112	10000
32002113	32002113	32002113	10000
32002114	32002114	32002114	10000
32002115	32002115	32002115	10000
32002116	32002116	32002116	10000
32002117	32002117	32002117	10000
32002118	32002118	32002118	10000
32002119	32002119	32002119	10000
32002120	32002120	32002120	10000
32002121	32002121	32002121	10000
32002122	32002122	32002122	10000
32002123	32002123	32002123	10000
32002124	32002124	32002124	10000
32002125	32002125	32002125	10000
32002126	32002126	32002126	10000
32002127	32002127	32002127	10000
32002128	32002128	32002128	10000
32002129	32002129	32002129	10000
32002130	32002130	32002130	10000
32002131	32002131	32002131	10000
32002132	32002132	32002132	10000
32002133	32002133	32002133	10000
32002134	32002134	32002134	10000
32002135	32002135	32002135	10000
32002136	32002136	32002136	10000
32002137	32002137	32002137	10000
32002138	32002138	32002138	10000
32002139	32002139	32002139	10000
32002140	32002140	32002140	10000
32002141	32002141	32002141	10000
32002142	32002142	32002142	10000
32002143	32002143	32002143	10000
32002144	32002144	32002144	10000
32002145	32002145	32002145	10000
32002146	32002146	32002146	10000
32002147	32002147	32002147	10000
32002148	32002148	32002148	10000
32002149	32002149	32002149	10000
32002150	32002150	32002150	10000
32002151	32002151	32002151	10000
32002152	32002152	32002152	10000
32002153	32002153	32002153	10000
32002154	32002154	32002154	10000
32002155	32002155	32002155	10000
32002156	32002156	32002156	10000
32002157	32002157	32002157	10000
32002158	32002158	32002158	10000
32002159	32002159	32002159	10000
32002160	32002160	32002160	10000
32002161	32002161	32002161	10000
32002162	32002162	32002162	10000
32002163	32002163	32002163	10000
32002164	32002164	32002164	10000
32002165	32002165	32002165	10000
32002166	32002166	32002166	10000
32002167	32002167	32002167	10000
32002168	32002168	32002168	10000
32002169	32002169	32002169	10000
32002170	32002170	32002170	10000
32002171	32002171	32002171	10000
32002172	32002172	32002172	10000
32002173	32002173	32002173	10000
32002174	32002174	32002174	10000
32002175	32002175	32002175	10000
32002176	32002176	32002176	10000
32002177	32002177	32002177	10000
32002178	32002178	32002178	10000
32002179	32002179	32002179	10000
32002180	32002180	32002180	10000
32002181	32002181	32002181	10000
32002182	32002182	32002182	10000
32002183	32002183	32002183	10000
32002184	32002184	32002184	10000
32002185	32002185	32002185	10000
32002186	32002186	32002186	10000
32002187	32002187	32002187	10000
32002188	32002188	32002188	10000
32002189	32002189	32002189	10000
32002190	32002190	32002190	10000
32002191	32002191	32002191	10000
32002192	32002192	32002192	10000
32002193	32002193	32002193	10000
32002194	32002194	32002194	10000
32002195	32002195	32002195	10000
32002196	32002196	32002196	10000
32002197	32002197	32002197	10000
32002198	32002198	32002198	10000
32002199	32002199	32002199	10000
32002200	32002200	32002200	10000
32002201	32002201	32002201	10000
32002202	32002202	32002202	10000
32002203	32002203	32002203	10000
32002204	32002204	32002204	10000
32002205	32002205	32002205	10000
32002206	32002206	32002206	10000
32002207	32002207	32002207	10000
32002208	32002208	32002208	10000
32002209	32002209	32002209	10000
32002210	32002210	32002210	10000
32002211	32002211	32002211	10000
32002212	32002212	32002212	10000
32002213	32002213	32002213	10000
32002214	32002214	32002214	10000
32002215	32002215	32002215	10000
32002216	32002216	32002216	10000
32002217	32002217	32002217	10000
32002218	32002218	32002218	10000
32002219	32002219	32002219	10000
32002220	32002220	32002220	10000
32002221	32002221	32002221	10000
32002222	32002222	32002222	10000
32002223	32002223	32002223	10000
32002224	32002224	32002224	10000
32002225	32002225	32002225	10000
32002226	32002226	32002226	10000
32002227	32002227	32002227	10000
32002228	32002228	32002228	10000
32002229	32002229	32002229	10000
32002230	32002230	32002230	10000
32002231	32002231	32002231	10000
32002232	32002232	32002232	10000
32002233	32002233	32002233	10000
32002234	32002234	32002234	10000
32002235	32002235	32002235	10000
32002236	32002236	32002236	10000
32002237	32002237	32002237	10000
32002238	32002238	32002238	10000
32002239	32002239	32002239	10000
32002240	32002240	32002240	10000

50102001	50102005	30900026	10000
50102002	50102006	30900026	10000
50102003	50102007	30900026	10000
50102004	50102008	30900026	10000
50112001	50112005	30900026	10000
50112002	50112006	30900026	10000
50112003	50112007	30900026	10000
50112004	50112008	30900026	10000
50202001	50202005	30900027	20000
50202002	50202006	30900027	20000
50202003	50202007	30900027	20000
50202004	50202008	30900027	20000
50212001	50212005	30900027	20000
50212002	50212006	30900027	20000
50212003	50212007	30900027	20000
50212004	50212008	30900027	20000
50302001	50302005	30900028	30000
50302002	50302006	30900028	30000
50302003	50302007	30900028	30000
50302004	50302008	30900028	30000
50312001	50312005	30900028	30000
50312002	50312006	30900028	30000
50312003	50312007	30900028	30000
50312004	50312008	30900028	30000
50402001	50402005	30900029	40000
50402002	50402006	30900029	40000
50402003	50402007	30900029	40000
50402004	50402008	30900029	40000
50412001	50412005	30900029	40000
50412002	50412006	30900029	40000
50412003	50412007	30900029	40000
50412004	50412008	30900029	40000
50502001	50502005	30900030	50000
50502002	50502006	30900030	50000
50502003	50502007	30900030	50000
50502004	50502008	30900030	50000
50512001	50512005	30900030	50000
50512002	50512006	30900030	50000
50512003	50512007	30900030	50000
50512004	50512008	30900030	50000
50602001	50602005	30900031	60000
50602002	50602006	30900031	60000
50602003	50602007	30900031	60000
50602004	50602008	30900031	60000
50612001	50612005	30900031	60000
50612002	50612006	30900031	60000
50612003	50612007	30900031	60000
50612004	50612008	30900031	60000
50702001	50702005	30900032	70000
50702002	50702006	30900032	70000
50702003	50702007	30900032	70000
50702004	50702008	30900032	70000
50712001	50712005	30900032	70000
50712002	50712006	30900032	70000
50712003	50712007	30900032	70000
50712004	50712008	30900032	70000
50802001	50802005	30900033	80000
50802002	50802006	30900033	80000
50802003	50802007	30900033	80000
50802004	50802008	30900033	80000
50812001	50812005	30900033	80000
50812002	50812006	30900033	80000
50812003	50812007	30900033	80000
50812004	50812008	30900033	80000
50902001	50902005	30900034	90000
50902002	50902006	30900034	90000
50902003	50902007	30900034	90000
50902004	50902008	30900034	90000
50912001	50912005	30900034	90000
50912002	50912006	30900034	90000
50912003	50912007	30900034	90000
50912004	50912008	30900034	90000
