INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING
ID	·ÖÀà ID£¨»¥³âÓÃ£©	PRIÓÅÏÈ¼¶	Í¼±êÎÄ¼şÃû	´¥·¢ÌØĞ§ID	´¥·¢ÌØĞ§µÄÒôĞ§ID	´¥·¢ÌØĞ§µÄ°ó¶¨µã	³ÖĞøĞÔÌØĞ§ID	³ÖĞøÌØĞ§µÄÒôĞ§ID	³ÖĞøĞÔÌØĞ§µÄ°ó¶¨µã	ËÀºóÊÇ·ñ±£Áô	ÊÇ·ñ¿ÉÒÔ±»¼¼ÄÜÇıÉ¢	ÊÇ·ñÊÇ¸ºÃæĞ§¹û	ÊÇ·ñ¿ÉÒÔ±»ÊÖ¶¯È¡Ïû	ÊÇ·ñÎªÏßĞÔÌØĞ§	ÏßĞÔÌØĞ§µÄ°ó¶¨µã	Ğ§¹ûËµÃ÷$1$
1	1	1000	Buff0_1				g01_buff2		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Tê li®t: liên tøc m¤t máu
2	2	1000	Buff0_2				npc_buff_19		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Trúng ğµc: liên tøc m¤t máu
3	3	1000	Buff0_3				g01_buff32		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Nguy«n rüA:liên tøc m¤t máu
4	4	1000	Buff0_4				g01_buff106		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Thiêu ğ¯t: liên tøc m¤t máu
5	5	1000	Buff0_6				g01_buff46_01		ÉíÌåÊÜ»÷µã	0	1	1	0	0		C¡n máu: liên tøc m¤t máu
6	6	1000	Buff0_5				npc_buff_19		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Ån mòn: liên tøc m¤t máu
7	7	1000	Buff0_5							0	0	1	0	1	ÉíÌåÊÜ»÷µã	Tiªt khí: liên tøc giäm khí
8	8	1000	Buff0_6							0	0	1	0	1	ÉíÌåÊÜ»÷µã	An phü: liên tøc giäm cß¶ng lñc
9	9	1000	Medicine2_5							0	0	0	1	0		H°i máu: liên tøc h°i máu
