INT	STRING	STRING	STRING	INT	STRING	INT	INT	STRING
ID	相关	界面	脚本	不懂	缩写之类的	不懂	不懂	备注
0	ActionSkill	ActionSkill/ActionSkill.layout.xml	ActionSkill/ActionSkill.lua	2	wgjn	32	33	战斗技能界面
1	ActionSkillsStudy	ActionSkillsStudy/ActionSkillsStudy.layout.xml	ActionSkillsStudy/ActionSkillsStudy.lua	3	wgzs	19	20	师门技能学习
2	Agname	Agname/Agname.layout.xml	Agname/Agname.lua	1	jbsx	19	20	称号选择界面
3	ChangeMinorPassword	ChangeMinorPassword/ChangeMinorPassword.layout.xml	ChangeMinorPassword/ChangeMinorPassword.lua	0	yxaq	19	20	修改密码界面
4	ChatFrame	ChatFrame/ChatFrame.layout.xml	ChatFrame/ChatFrame.lua	0	ltzs	0	0	聊天界面
5	ChatInfo	ChatInfo/ChatInfo.layout.xml	ChatInfo/ChatInfo.lua	1	jbsx	19	20	玩家信息
6	CommonSkill	CommonSkill/CommonSkill.layout.xml	CommonSkill/CommonSkill.lua	2	tyjn	32	33	通用技能界面
7	LoginCreateRole	CreateRole/CreateRole.layout.xml	CreateRole/CreateRole.lua	1	#N/A	0	0	#N/A
8	Exchange	Exchange/Exchange.layout.xml	Exchange/Exchange.lua	1	jy	19	20	交易物品界面
9	FriendInfo	FriendInfo/FriendInfo.layout.xml	FriendInfo/FriendInfo.lua	1	hy	19	20	历史信息查询
10	GameSetup	GameSetup/GameSetup.layout.xml	GameSetup/GameSetup.lua	1	yxpz	19	20	游戏配置
11	HistoryCorrespondence	HistoryCorrespondence/HistoryCorrespondence.layout.xml	HistoryCorrespondence/HistoryCorrespondence.lua	1	hy	19	20	好友信息查询
12	InfoBrowser	InfoBrowser/InfoBrowser.layout.xml	InfoBrowser/InfoBrowser.lua	1	hy	0	20	好友消息接受
13	InfoEdit	InfoEdit/InfoEdit.layout.xml	InfoEdit/InfoEdit.lua	1	hy	0	20	好友消息发送
14	InputMoney	InputMoney/InputMoney.layout.xml	InputMoney/InputMoney.lua	1	yhjs	0	0	存钱、取钱
15	InputMood	InputMood/InputMood.layout.xml	InputMood/InputMood.lua	1	jbsx	0	0	心情寄语
16	LoginLogOn	LogOn/LogOn.layout.xml	LogOn/LogOn.lua	1	yxzcdl	0	0	#N/A
17	MainMenuBar	MainMenuBar/MainMenuBar.layout.xml	MainMenuBar/MainMenuBar.lua	0	kjl	0	0	快捷栏
18	MessageBox_Other	MessageBox_Other/MessageBox_Other.layout.xml	MessageBox_Other/MessageBox_Other.lua	1	#N/A	19	20	
19	MessageBox_Self	MessageBox_Self/MessageBox_Self.layout.xml	MessageBox_Self/MessageBox_Self.lua	1	helpindex	19	20	宠物放生界面
20	MissionReply	MissionReply/MissionReply.layout.xml	MissionReply/MissionReply.lua	3	rwzs	19	20	交任务界面
21	Operation	Operation/Operation.layout.xml	Operation/Operation.lua	1	xtjmjs	25	26	系统界面
22	OtherInfo	OtherInfo/OtherInfo.layout.xml	OtherInfo/OtherInfo.lua	2	qtxx	19	20	其他信息
23	Pet	Pet/Pet.layout.xml	Pet/Pet.lua	2	cwsx	19	20	宠物属性界面
24	PetList	PetList/PetList.layout.xml	PetList/PetList.lua	1	cwlb	0	0	宠物列表
25	QuitRelative	QuitRelative\QuitRelative.layout.xml	QuitRelative\QuitRelative.lua	1	#N/A	0	0	
26	Relive	Relive/Relive.layout.xml	Relive/Relive.lua	6	wjswjs	0	0	死亡后询问
27	Ride	Ride/Ride.layout.xml	Ride/Ride.lua	2	zqzs	19	20	骑乘
28	LoginSelectRole	SelectRole/SelectRole.layout.xml	SelectRole/SelectRole.lua	1	#N/A	0	0	#N/A
29	LoginSelectServer	SelectServer/SelectServer.layout.xml	SelectServer/SelectServer.lua	1	#N/A	0	0	#N/A
30	LoginSelectServerQuest	SelectServerQuest/SelectServerQuest.layout.xml	SelectServerQuest/SelectServerQuest.lua	0	yxaq	0	0	#N/A
31	SelfData	SelfData/SelfData.layout.xml	SelfData/SelfData.lua	2	jbsx	19	20	玩家资料
32	SelfEquip	SelfEquip/SelfEquip.layout.xml	SelfEquip/SelfEquip.lua	2	wjsx	34	20	玩家属性
