INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING
0	492	17	-1	0	0	1	1	31	6	Cát Quang Bµi		Làm thay	-1	-1	-1	240	173			
1	493	17	-1	0	0	3	1	33	6	Can Quang Hào		N÷c ðµc cüa ong	-1	-1	-1	241	181			
2	503	18	-1	0	0	5	3	35	7	Th¶i MÕi		Chìa khóa bäo tàng màu h°ng	-1	-1	-1	263	201			
3	504	18	-1	0	0	5	3	35	7	Th¶i MÕi		Chìa khóa bäo tàng màu vàng	-1	-1	-1	263	201			
4	505	18	-1	0	0	5	3	35	7	Th¶i MÕi		Chìa khóa bäo tàng màu xanh	-1	-1	-1	263	201			
5	515	19	-1	0	0	13	11	43	8	Chu Vß½ng L­		Giáp kích	514	-1	-1	63	81			
6	465	14	-1	0	0	18	16	48	3	Løc Ngßng Sß½ng		Ngß¶i c·i chuông	903	-1	-1	181	81			
7	466	14	-1	0	0	18	16	48	3	Løc Ngßng Sß½ng		D¤u vªt chÑng cÑ l¶ m¶	465	-1	-1	181	81			
8	469	14	-1	0	0	20	18	50	3	Løc Tùng		Tung Dß½ng ÐoÕn Trß¶ng Thäo	904	-1	-1	182	81			
9	645	41	-1	0	0	23	21	53	30	Tô Phi		ÐoÕn Ki«u Hoa Yêu	644	-1	-1	164	262			
10	646	41	-1	0	0	23	21	53	30	Tô Phi		BÕch Ðê Li­u QuÖ	644	-1	-1	164	262			
11	647	41	-1	0	0	23	21	53	30	Tô Phi		Quy Phong Trang	644	-1	-1	164	262			
12	522	29	-1	0	0	30	28	60	18	Kh¤u Phong		Bí m§t liên lÕc	-1	-1	-1	242	75			
13	524	29	-1	0	0	32	30	62	18	Mã Th×a Sänh		Hoàn mÛ Khôi Hùng Bì	-1	-1	-1	260	88			
14	530	30	-1	0	0	45	43	75	19	Khúc Ðoan		H°ng quä phø	-1	-1	-1	232	192			
15	532	30	-1	0	0	45	43	75	19	Khúc Ðoan		H°ng Thiªt träo	-1	-1	-1	232	192			
16	600	37	-1	0	0	55	53	85	26	Tr¸nh Huy«n		Chu¦n b¸ ngü ðông	-1	-1	-1	183	164			
17	541	31	-1	0	0	60	58	90	20	Nguy­n lão thái thái		H¡c Phong thích	-1	-1	-1	190	200			
18	544	31	-1	0	0	62	60	92	20	Tiêu Tß¶ng		BÕch mã thanh ngßu	542	543	-1	164	158			
