INT	STRING	FLOAT	FLOAT
INT	STRING	FLOAT	FLOAT
0	默认(必须有这行)	0.9500	5.4000
1	女主角	0.9500	5.4000
2	女主角(头)	1.6000	1.3000
3	男主角	1.0000	6.0000
4	男主角(头)	1.8000	1.6000
5	宠物:猫	0.3000	3.0500
6	宠物:兔	0.4000	3.2500
7	宠物:鸡	0.3000	2.9000
8	宠物:狗	0.3000	3.3500
9	宠物:山羊	0.4000	3.4500
10	宠物:鸭子	0.3000	3.1500
11	宠物:猪	0.4000	3.7000
12	宠物:鹅	0.5000	4.3000
13	宠物:毛驴	0.6000	5.1000
14	宠物:蛙	0.3000	3.6000
15	宠物:猴子	0.4000	4.7500
16	宠物:龟	0.3000	3.6000
17	宠物:蝙蝠	0.7500	4.1500
18	宠物:松鼠	0.5500	4.8000
19	宠物:蜥蜴	0.2500	3.8000
20	宠物:燕子	0.6500	4.7500
21	宠物:刺猬	0.5000	5.0000
22	宠物:浣熊	0.3000	3.1000
23	宠物:猫头鹰	1.1500	4.7500
24	宠物:鹦鹉	0.7000	4.6000
25	宠物:野猪	0.6500	5.6500
26	宠物:冰蚕	1.0000	7.4500
27	宠物:鹰	0.6500	6.0000
28	宠物:駮马	0.8500	7.5000
29	宠物:雪貂	0.6500	6.5500
30	宠物:孔雀	0.7000	7.1500
31	宠物:獾	0.5000	4.4500
32	宠物:犀牛	0.7000	7.5000
33	宠物:小象	0.6500	7.8500
34	宠物:黄鸟	0.9500	6.3500
35	宠物:年兽	0.8500	9.9500
36	宠物:龙龟	0.6000	7.3000
37	宠物:英招	0.8000	9.5000
38	宠物:麒麟	1.1500	9.9500
39	宠物:蛟龙	2.4500	13.3500
40	坐骑:虎	0.4000	8.1000
41	坐骑:黄骠马	0.9000	7.8000
42	坐骑:灰狼	0.6000	7.0000
43	坐骑:雕	2.5000	9.0000
44	坐骑:鹿	1.1500	8.0000
45	坐骑:鹤	2.4500	11.9000
46	坐骑:青凤	2.7000	15.0000
47	坐骑:骆驼	1.0500	9.0000
48	坐骑:牦牛	1.0000	7.4500
49	坐骑:白虎	0.5000	8.1000
50	坐骑:青白骢马	1.4500	10.0000
51	坐骑:白狼	0.6000	7.0000
52	坐骑:白雕	2.8000	10.0000
53	坐骑:白鹿	1.5000	9.0000
54	坐骑:金翼鹤	2.6500	12.3000
55	坐骑:红白凤	2.6500	13.5000
56	坐骑:白骆驼	1.1000	9.0000
57	坐骑:白牦牛	1.0500	8.9500
58	宠物:企鹅	0.6000	6.0000
59	宠物:霸王龙	0.9000	8.1000
60	宠物:白狐	0.6000	6.3000
61	宠物:北极熊	0.5500	5.4000
62	宠物:豹	0.6000	6.0000
63	宠物:鳄鱼	0.5000	6.6000
64	宠物:虎	0.7000	6.3000
65	宠物:狼	0.5500	5.4000
66	宠物:大螳螂	0.6000	5.4000
67	宠物:大猩猩	0.7000	6.3000
68	宠物:袋鼠	0.8500	7.8000
69	宠物:剑齿虎	0.6500	6.6000
70	宠物:剑龙	0.8000	9.6000
71	宠物:鸵鸟	1.0000	8.4000
72	宠物:鸭嘴兽	0.5500	5.0000
73	宠物:玄翼兽	0.5500	6.5000
74	坐骑:天使翅膀	2.4000	7.0000
75	宠物:大甲虫	0.5000	9.0000
76	宠物:蝴蝶	1.8500	7.0000
77	宠物:螃蟹	0.4000	4.0000
78	宠物:龙猫	0.5000	4.3000
79	宠物:树袋熊	0.6000	4.7500
80	宠物:熊猫	0.8000	7.0000
81	坐骑:大绿龙	4.0000	20.0000
82	坐骑:巨人	1.5000	11.0000
83	宠物:欢乐猪	0.4500	4.0000
84	宠物:宝箱童子	0.6000	6.0000
85	坐骑:圣诞雪橇	0.6500	14.5000
86	坐骑:潘神	1.3000	11.0000
87	宠物:唐装鼠	0.5500	4.8000
88	宠物:鸳鸯	0.3500	4.7500
89	宠物：穷奇	1.0000	8.5000
90	宠物：小狐仙	0.6100	5.2000
91	坐骑：碧水金睛兽	2.2000	18.0000
92	宠物：上古神猿	0.9000	8.5000
93	宠物：穿山甲	0.6200	8.1000
94	珍兽：比翼鸟	1.2000	8.2000
95	珍兽：春节牛	0.5500	4.5000
96	坐骑：圣诞	2.0000	18.0000
97	宠物：当扈	1.9000	9.0000
98	坐骑：春节年兽	0.8000	9.0000
99	坐骑：情人节花车1	1.8000	11.0000
100	珍兽：春节牛1	0.5500	4.5000
101	坐骑：白豹	0.7000	9.8000
102	坐骑：黑豹	0.7000	9.8000
103	坐骑：狮子	0.5000	8.0000
104	坐骑：白狮	0.5000	8.0000
105	宠物：go仔	0.4500	3.8000
106	坐骑：巨猿	1.6000	12.0000
107	珍兽：宝箱守卫	1.5500	10.0000
108	宠物：七夕鸳鸯	0.5000	6.0000
109	坐骑：鹜影雕	3.0000	13.0000
110	坐骑：琉璃凤	3.0500	13.0000
111	坐骑：瑞莲鹤	2.9000	12.3000
112	坐骑：如意虎	0.7000	11.0000
113	坐骑：银月狼	0.8000	9.0000
114	坐骑：七彩鹿	1.5000	11.5000
115	坐骑：龙血马	1.5000	12.0000
116	坐骑：青牦牛	1.0500	10.8000
117	坐骑：烈焰狮	0.8000	10.0000
118	宠物：哈大霸	1.0000	8.5000
119	宠物：白帝	1.3000	8.5000
120	宠物：孙美美	1.3000	9.0000
121	宠物：秦皇之魂	1.4000	9.0000
122	宠物：武玄将	1.5000	10.0000
123	宠物：棋局首领	1.5000	9.0000
124	坐骑：咖啡翅膀	2.4000	7.0000
125	武魂琉璃焰20090722	0.0800	2.2000
126	武魂琉璃焰变异20090722	0.0800	2.2000
127	武魂琉璃焰变异20090722-02	0.0800	2.2000
128	武魂琉璃焰变异20090722-03	0.0800	2.2000
129	武魂琉璃焰变异20090722-04	0.0800	2.2000
130	武魂御瑶盘20090722	0.0800	2.0000
131	武魂御瑶盘变异20090722	0.0800	2.0000
132	武魂御瑶盘变异20090722-02	0.0800	2.0000
133	武魂御瑶盘变异20090722-03	0.0800	2.0000
134	武魂御瑶盘变异20090722-04	0.0800	2.0000
135	坐骑：松鼠	1.3000	10.0000
136	珍兽：树精宝宝	0.5500	4.8000
137	珍兽：灵兔兽	1.5500	5.3000
138	坐骑：蝴蝶翅膀	2.4000	7.0000
139	宠物：至尊神兽	0.7500	9.0000
140	宠物：火鬃鼠	0.5000	5.0000
141	宠物：火鸡宝宝	0.8000	5.0000
142	宠物:蝴蝶2	1.6000	6.5000
143	宠物:人型花	0.5000	4.7500
144	宠物:驯鹿	0.6000	5.0000
145	宠物：春节布老虎	0.4000	4.7500
146	坐骑：春节老虎	0.9000	12.0000
147	宠物：情侣熊猫	0.4000	4.5000
148	坐骑：羊	1.0000	8.0000
149	坐骑：白羊	1.0500	8.0000
150	坐骑：大白羊	1.1500	10.8000
151	坐骑：飞龙椅	1.5000	11.0000
152	宠物:暴龙	0.9000	8.1000
153	坐骑：火焰貂	1.3000	10.0000
154	坐骑：熊猫	0.9000	9.0000
155	坐骑：恐惧魔狰	0.8000	8.0000
156	坐骑：图鲁克	3.0000	15.0000
157	坐骑：暗影图鲁克	3.0000	15.0000
158	坐骑：紫影图鲁克	3.0000	15.0000
159	宠物:章鱼	0.7000	4.7500
160	宠物:花灵	0.5700	4.7500
161	宠物:傀儡狼	0.5500	5.4000
162	坐骑:树傀儡	1.9000	15.0000
163	坐骑:炎兽	0.7000	9.8000
164	坐骑:轩辕雷兽	0.9500	9.5000
165	坐骑:骑乘多人龙	2.5000	18.0000
166	合体龙级别1	0.1500	2.5000
167	合体龙级别2	0.1500	3.0000
168	合体龙级别3	0.1500	3.5000
169	合体龙级别4	0.1500	4.0000
170	合体龙级别5	0.1500	5.5000
171	合体蝴蝶级别1	0.5000	2.5000
172	合体蝴蝶级别2	0.5000	2.5000
173	合体蝴蝶级别3	0.5000	2.5000
174	合体蝴蝶级别4	0.5000	2.5000
175	合体蝴蝶级别5	0.3500	3.8000
176	骑乘：中秋兔子	1.0000	8.1000
177	宠物：五色神牛	0.6500	7.0000
178	骑乘：宋军马	1.5000	12.0000
179	骑乘：辽军马	1.5000	12.0000
180	通用合体特效1	0.0500	3.0000
181	通用合体特效2	0.0500	3.0000
182	通用合体特效3	0.0500	2.5000
183	通用合体特效4	0.0500	2.5000
184	通用合体特效5	0.0500	4.5000
185	宠物：僵尸宝宝	0.7000	4.7500
186	宠物：珍兽boss	0.8500	6.0000
187	宠物:海盗鼠	0.5000	4.7500
188	宠物：剑狼	0.6500	5.0000
189	宠物：狸猫	0.7000	6.0000
190	骑乘：火麒麟	1.1500	13.0000
191	骑乘：鬼马	1.5000	11.0000
192	骑乘：画卷	3.0000	10.0000
193	骑乘：添福锦鳞	1.5000	11.0000
194	骑乘：天工玲珑鼠	1.7500	14.0000
195	骑乘：陆行鸟	1.3000	10.0000
196	珍兽：玉鸾凤	1.3000	9.2000
197	骑乘：金麟舞狮	1.1500	8.0000
198	宠物：企鹅王	0.7500	6.2500
199	骑乘：寄居蟹	1.3000	13.0000
200	宠物：情侣兔子	0.5500	4.5000
201	宠物：石灵	1.0000	8.0000
202	宠物：兔子可爱版	0.5000	5.0000
203	宠物：仓鼠	0.5000	5.0000
204	骑乘:春节花车	1.4000	11.5000
205	骑乘：仙灵蓝	1.4500	11.5000
206	骑乘：仙灵红	1.4500	11.5000
207	坐骑：金翅	5.0000	14.0000
208	聚宝盆	0.3000	3.0000
209	宠物：YY熊	0.5500	4.5000
210	坐骑：多人马车	0.6500	14.0000
211	合体凤凰级别1	0.1500	2.5000
212	合体凤凰级别2	0.1500	3.0000
213	合体凤凰级别3	0.1500	3.5000
214	合体凤凰级别4	0.1500	4.0000
215	合体凤凰级别5	0.1500	6.0000
216	坐骑：如意熊	0.6000	9.0000
217	坐骑：驯鹿	1.2000	9.5000
218	坐骑：犀牛	0.7000	9.0000
219	坐骑：玄龟	0.6000	9.0000
220	坐骑：兔子	1.0000	9.0000
221	坐骑：马车	1.0000	14.0000
222	坐骑：天马	0.8500	8.2000
223	坐骑：跨服争霸赛3级坐骑	2.0000	20.0000
224	坐骑：跨服争霸赛2级坐骑	2.0000	20.0000
225	坐骑：跨服争霸赛1级坐骑	2.0000	20.0000
226	宠物：玉兔2011	0.5500	4.8000
227	宠物：招福猫	0.5500	4.8000
228	宠物：圣诞龙	1.2000	4.6000
229	坐骑：灵貉	0.9000	9.0000
230	宠物：灵蛇	0.5500	4.5000
231	宠物：2012龙	1.5000	11.0000
232	宠物：鼹鼠宝宝	0.4000	3.6000
233	坐骑：双人驯鹿花车	1.5000	18.0000
234	宠物：咩小萌	1.6000	3.8000
235	翅膀：金羽	2.4000	7.0000
236	坐骑：冥邪兽	1.0000	10.0000
237	宠物：腾讯熊	0.4230	3.9000
238	坐骑：烈火金刚	1.2000	11.0000
239	坐骑：石狼	0.5000	12.0000
240	宠物：替模	0.5000	5.0000
241	坐骑：替模	1.5000	12.0000
242	珍兽：美人鱼	0.9000	4.0000
243	珍兽：天蓬揽月	0.8500	8.0000
244	合体翅膀一级120726	0.5000	2.5000
245	合体翅膀二级120726	0.5000	2.5000
246	合体翅膀三级120726	0.5000	2.5000
247	合体翅膀四级120726	0.5000	2.5000
248	合体翅膀五级120726	0.3500	3.8000
249	坐骑：天河灵鹊	3.0500	15.0000
250	珍兽：九黎妖虎	1.3500	10.5000
251	珍兽：轩辕天凤	1.6000	9.2000
252	坐骑：黑天马	1.3000	10.0000
253	坐骑：白色碧水金睛兽	1.5000	12.5000
254	坐骑：海马	1.5000	9.0000
255	珍兽：九黎妖虎宝宝	0.8000	9.0000
256	坐骑：开明兽	1.5000	12.5000
257	珍兽：百变旺仔	1.0000	5.0000
258	坐骑：星虹云舟	2.5000	16.0000
259	珍兽：玄荒腾蛇	1.6000	10.5000
260	珍兽：娲皇龙蟒	1.6000	12.5000
261	坐骑：暗炎冥狮	1.5000	12.5000
262	坐骑：幽灵熊	0.6000	9.0000
263	坐骑：陆行鹤	1.2000	10.0000
264	翅膀：炎羽	2.4000	7.0000
265	骑乘：夏日冰龙	3.3000	18.0000
266	珍兽：美女蛇	0.8000	5.0000
267	坐骑：豹	0.4000	8.1000
268	坐骑：白豹	0.5000	8.1000
269	坐骑：暗影豹	0.7000	11.0000
270	珍兽：巡游小仙	0.3500	3.5000
271	珍兽：熊猫黑花	0.4500	3.8000
272	珍兽：安仔	0.4500	3.8000
273	珍兽：小浪人	0.4500	3.8000
274	坐骑:黑玫瑰	1.3000	10.0000
275	珍兽：迅雷鸟	0.4500	3.8000
276	宠物：闪电貂	0.3000	3.6000
277	宠物：毛毛牛	1.1000	3.8000
278	坐骑：绒雪神牛	0.9500	9.5000
279	坐骑：沧海龙驹	0.9500	9.0000
280	坐骑：百变金刚	1.2000	10.0000
281	珍兽：圣诞小鹿	0.8000	5.5000
282	坐骑:圣诞企鹅车	0.6500	14.5000
283	珍兽：VIP马	1.1000	9.0000
284	坐骑：神马浮云	0.8500	8.2000
285	宠物:火炮熊猫	0.8000	7.0000
286	宠物：萌音花灵	1.0000	4.0000
287	坐骑：月马香驹	1.5000	18.0000
288	宠物：马尚友	0.6000	5.0000
289	魂兽合体140210恶魔守卫1	0.8000	3.0000
290	魂兽合体140210恶魔守卫2	0.8000	3.0000
291	魂兽合体140210恶魔守卫3	0.9000	4.0000
292	魂兽合体140210恶魔守卫4	1.1000	5.0000
