INT	STRING	STRING
ID	ID	ID
1	ZUDUI	Ðµi
2	SILIAO	Nói th¥m
3	TIAOZHAN	Khiêu chiªn
4	JIAOYI	Giao d¸ch
5	ENTER	Bß¾c vào
6	NPC_000_TEXT	L¶i nói vô døng cüa NPC0, *************
7	NPC_001_TEXT	L¶i nói vô døng cüa NPC1..., *************
8	M_0000_NAME	Nhi®m vø ðªn tìm ngß¶i
9	M_0000_TEXT0	Giäi thích nh§n nhi®m vø ðªn tìm ngß¶i
10	M_0001_NAME	Nhi®m vø ðßa hàng
11	M_0001_TEXT0	Giäi thích nh§n nhi®m vø ðßa hàng
12	M_0001_TEXT1	Giäi thích giao nhi®m vø ðßa hàng
13	M_0001_TEXT2	Thuyªt minh yêu c¥u nhi®m vø trß¾c khi ðßa nhi®m vø giao hàng
14	M_MIAOSU	Miêu tä nhi®m vø
15	M_0010_NAME	Thøc ÐÕo H¡c Viên
16	M_0010_TEXT0	Toàn là l¶i th×a...! (H¡c Vi®n là loÕi hung mãnh nhß thª nào, nói tóm lÕi chï mu¯n l×a các hÕ ði giúp y ði l¤y m¤y t¤m da cüa H¡c Viên v« mà thôi!), l¤y ðßþc da cüa chúng v« ð¬ chÑng minh các hÕ ðã giúp ngß¶i dân · ð¸a phß½ng này tr× ði mµt s¯ tai h÷a!
17	M_0010_TEXT1	Mang 5 t¤m da h¡c viên v« ðây giao cho ta!
18	M_0010_TEXT2	Công vi®c ðã giäi quyªt ðßþc ðªn ðâu r°i?
19	M_0010_TEXT3	Làm r¤t tuy®t!
20	M_MUBIAO	#YMøc tiêu nhi®m vø: 
21	M_SHOUHUO	Các hÕ s¨ nh§n ðßþc: 
22	M_XUANZE	Các hÕ có th¬ ch÷n l¤y ph¥n thß·ng cho mình: 
