INT	INT	INT	STRING	INT	STRING	STRING
INT	INT	INT	STRING	INT	STRING	STRING
0	1	-1	Boss Yªn TØ ‘	-1		
1	1	-1	Boss HoÕt ðµng	-1		
2	1	-1	Boss Yªn Vß½ng C± Mµ	-1		
3	1	-1	Boss Huy«n Vû Ðäo	-1		
4	1	-1	Boss Thß½ng S½n	-1		
5	1	-1	Boss Võ Di	-1		
6	1	-1	Boss Thäo Nguyên	-1		
7	1	-1	Boss Kính H°	-1		
8	1	-1	Boss Thánh Thú S½n	-1		
9	1	-1	Boss Liên hoàn phø bän	-1		
10	1	-1	Boss Môn phái phø bän	-1		
11	1	-1	Boss Hàn Ng÷c C¯c	-1		
12	1	-1	Boss Phiêu Mi¬u Phong	-1		
13	1	-1	S½ chiªn Boss Phiêu Mi¬u Phong	-1		
14	1	-1	Boss Thúc Hà C± Tr¤n	-1		
15	1	-1	BOSS T¥n Hoàng Ð¸a Cung	-1		
16	1	-1	BOSS phø bän Thiên Giáng KÏ Thú	-1		
17	1	-1	BOSS phø bän Lâu Lan T¥m Bäo	-1		
18	1	-1	BOSS phø bän Lâu Lan Liên Hoàn	-1		
19	1	-1	Boss cüa các loÕi map khác	-1		
23	-1	0	Mµ Dung Phøc	0	#Y[Mµ Dung Phøc]	#Y[Mµ Dung Phøc]#r#GKhiêu Chiªn Yªn TØ ‘#rC¤p 60 tr· lên t± ðµi khiêu chiªn phø bän#ccc33cc#rR¾t:#W#rBí Ngân Toái Phiªn#rTân Mãng Th¥n Phù#rNhi­m Li®u Ty Tuyªn#rBµ Trang Phøc#rBäo ThÕch Ðiêu Trác Phù#rTrÑng Trân Thú: Anh Chiêu#rYªu Quyªt: LÕc Mã Ti­n#rBách Biªn Nhß Ý: Mµ Dung Phøc#rC¤p 90 tr· lên Mµ Dung Phøc r¾t Hàn Bång Tinh Tiªt#rC¤p 80-89 Mµ Dung Phøc r¾t Th¥n Binh Phù c¤p 1#rC¤p 90-99 Mµ Dung Phøc r¾t Th¥n Binh Phù c¤p 2#rC¤p 100-119 Mµ Dung Phøc r¾t Th¥n Binh Phù c¤p 3
24	-1	0	Cßu Ma Trí	1	#Y[Khßu Ma Trí]	#Y[Khßu Ma Trí] #r#GKhiêu chiªn Yªn TØ ‘ #rtrên ðÆng c¤p 60 t± ðµi khiêu chiªn phø bän #ccc33cc#rr¾t ra: #W#rTinh thiªt toái phiªn #rNhi­m li®u ty tuyªn #rVû khí #rBäo ThÕch ðiêu trác phù #rBách biªn nhß ý: Khßu Ma Trí
25	-1	0	Ðoàn Diên Khánh	2	#Y[Ðoàn Diên Khánh]	#Y[Ðoàn Diên Khánh] #r#GKhiêu chiªn Yªn TØ ‘ #rTrên ðÆng c¤p 60 t± ðµi khiêu chiªn phø bän #ccc33cc#rr¾t ra: #W#rBäo ThÕch ðiêu trác phù #rMiên b¯ toái phiªn #rTrang b¸ #rBách biªn nhß ý: Ðoàn Diên Khánh
26	-1	0	Di®p Nh¸ Nß½ng	98	#Y[Di®p Nh¸ Nß½ng]	#Y[Di®p Nh¸ Nß½ng]#r#Gkhiêu chiªn Yên TØ ‘ #rt± ðµi c¤p 60 tr· lên khiêu chiªn phø bän
27	-1	0	NhÕc Lão Tam	99	#Y[NhÕc Lão Tam]	#Y[NhÕc Lão Tam]#r#Gkhiêu chiªn Yên TØ ‘ #rt± ðµi c¤p 60 tr· lên khiêu chiªn phø bän
28	-1	0	Vân Trung HÕc	100	#Y[Vân Trung HÕc]	#Y[Vân Trung HÕc]#r#G khiêu chiªn Yên TØ ‘ #rt± ðµi c¤p 60 tr· lên khiêu chiªn phø bän
